,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_clf__batch_size,param_clf__dropout,param_clf__epochs,param_clf__first_neuron,param_clf__last_activation,param_clf__last_neuron,param_clf__loss,param_clf__lr,param_clf__optimizer,param_clf__second_activation,param_clf__second_neuron,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,2.4064060846964517,0.048523267110188804,0.820705983616184,0.8266288366707352,128,0,20,8,<function relu at 0x1220702f0>,1,<function binary_crossentropy at 0x122036510>,0.001,<class 'keras.optimizers.Adam'>,<function relu at 0x1220702f0>,1,"{'clf__batch_size': 128, 'clf__dropout': 0, 'clf__epochs': 20, 'clf__first_neuron': 8, 'clf__last_activation': <function relu at 0x1220702f0>, 'clf__last_neuron': 1, 'clf__loss': <function binary_crossentropy at 0x122036510>, 'clf__lr': 0.001, 'clf__optimizer': <class 'keras.optimizers.Adam'>, 'clf__second_activation': <function relu at 0x1220702f0>, 'clf__second_neuron': 1}",32,0.8237572627886408,0.8479173394184094,0.8495803744735989,0.84049079760375,0.7887596897684634,0.7914783729900461,1.3849137030116296,0.010829020036910037,0.024922202730715166,0.025039365055272506
1,1.5173545678456624,0.08771800994873047,0.8114507103910541,0.8141434969703999,128,0,20,8,<function relu at 0x1220702f0>,1,<function binary_crossentropy at 0x122036510>,0.001,<class 'keras.optimizers.Adam'>,<function relu at 0x1220702f0>,8,"{'clf__batch_size': 128, 'clf__dropout': 0, 'clf__epochs': 20, 'clf__first_neuron': 8, 'clf__last_activation': <function relu at 0x1220702f0>, 'clf__last_neuron': 1, 'clf__loss': <function binary_crossentropy at 0x122036510>, 'clf__lr': 0.001, 'clf__optimizer': <class 'keras.optimizers.Adam'>, 'clf__second_activation': <function relu at 0x1220702f0>, 'clf__second_neuron': 8}",34,0.8018076179333854,0.8065870196194967,0.8386055520074917,0.8430739424865323,0.7939276487328285,0.7927695288051706,0.043593484514164456,0.01332456709659859,0.019472021746177376,0.021220411108528313
2,1.6611115137736003,0.12885371843973795,0.840077486035129,0.844490447745415,128,0,20,8,<function relu at 0x1220702f0>,1,<function binary_crossentropy at 0x122036510>,0.001,<class 'keras.optimizers.Adam'>,<function relu at 0x1220702f0>,32,"{'clf__batch_size': 128, 'clf__dropout': 0, 'clf__epochs': 20, 'clf__first_neuron': 8, 'clf__last_activation': <function relu at 0x1220702f0>, 'clf__last_neuron': 1, 'clf__loss': <function binary_crossentropy at 0x122036510>, 'clf__lr': 0.001, 'clf__optimizer': <class 'keras.optimizers.Adam'>, 'clf__second_activation': <function relu at 0x1220702f0>, 'clf__second_neuron': 32}",19,0.834732085254748,0.8479173394184094,0.8450613299287312,0.8463028739797404,0.8404392764857881,0.8392511298380951,0.040752561758097064,0.014661847324141232,0.00422509730797647,0.003762930043076886
3,1.778546651204427,0.17375429471333823,0.8428755919198461,0.8585895927074519,128,0,20,8,<function relu at 0x1220702f0>,1,<function binary_crossentropy at 0x122036510>,0.01,<class 'keras.optimizers.Adam'>,<function relu at 0x1220702f0>,1,"{'clf__batch_size': 128, 'clf__dropout': 0, 'clf__epochs': 20, 'clf__first_neuron': 8, 'clf__last_activation': <function relu at 0x1220702f0>, 'clf__last_neuron': 1, 'clf__loss': <function binary_crossentropy at 0x122036510>, 'clf__lr': 0.01, 'clf__optimizer': <class 'keras.optimizers.Adam'>, 'clf__second_activation': <function relu at 0x1220702f0>, 'clf__second_neuron': 1}",15,0.834732085254748,0.8479173394184094,0.8437701743060039,0.8837584757327571,0.8501291989664083,0.8440929629711892,0.015555654941071162,0.012897170848171048,0.006317267086069285,0.017865440909917596
4,1.9186840852101643,0.21323696772257486,0.8469651313085675,0.8596637839495944,128,0,20,8,<function relu at 0x1220702f0>,1,<function binary_crossentropy at 0x122036510>,0.01,<class 'keras.optimizers.Adam'>,<function relu at 0x1220702f0>,8,"{'clf__batch_size': 128, 'clf__dropout': 0, 'clf__epochs': 20, 'clf__first_neuron': 8, 'clf__last_activation': <function relu at 0x1220702f0>, 'clf__last_neuron': 1, 'clf__loss': <function binary_crossentropy at 0x122036510>, 'clf__lr': 0.01, 'clf__optimizer': <class 'keras.optimizers.Adam'>, 'clf__second_activation': <function relu at 0x1220702f0>, 'clf__second_neuron': 8}",6,0.8315041962941282,0.8514691638030427,0.855390574564235,0.8637391021454146,0.8540051679586563,0.8637830859003258,0.034767433013570985,0.01411361093017735,0.01094891343830283,0.005794499296883602
5,2.1046433448791504,0.25891534487406415,0.8295307791648731,0.8475049505377331,128,0,20,8,<function relu at 0x1220702f0>,1,<function binary_crossentropy at 0x122036510>,0.01,<class 'keras.optimizers.Adam'>,<function relu at 0x1220702f0>,32,"{'clf__batch_size': 128, 'clf__dropout': 0, 'clf__epochs': 20, 'clf__first_neuron': 8, 'clf__last_activation': <function relu at 0x1220702f0>, 'clf__last_neuron': 1, 'clf__loss': <function binary_crossentropy at 0x122036510>, 'clf__lr': 0.01, 'clf__optimizer': <class 'keras.optimizers.Adam'>, 'clf__second_activation': <function relu at 0x1220702f0>, 'clf__second_neuron': 32}",27,0.8405422854608224,0.8708427508376975,0.8495803744735989,0.8401679044813736,0.7984496122490836,0.8315041962941282,0.018148451502693376,0.01273225260344242,0.02227835453949702,0.01687709793416706
6,2.192936658859253,0.2972673575083415,0.8456736978815385,0.8511618350217681,128,0,20,16,<function relu at 0x1220702f0>,1,<function binary_crossentropy at 0x122036510>,0.001,<class 'keras.optimizers.Adam'>,<function relu at 0x1220702f0>,1,"{'clf__batch_size': 128, 'clf__dropout': 0, 'clf__epochs': 20, 'clf__first_neuron': 16, 'clf__last_activation': <function relu at 0x1220702f0>, 'clf__last_neuron': 1, 'clf__loss': <function binary_crossentropy at 0x122036510>, 'clf__lr': 0.001, 'clf__optimizer': <class 'keras.optimizers.Adam'>, 'clf__second_activation': <function relu at 0x1220702f0>, 'clf__second_neuron': 1}",8,0.834732085254748,0.8479173394184094,0.8502259522657228,0.8501775913135368,0.8520671836165494,0.8553905743333584,0.04589294799775207,0.013156904234142336,0.007774556766887999,0.0031293089526175017
7,2.3607375621795654,0.34160574277242023,0.8131726216484748,0.8269495063689704,128,0,20,16,<function relu at 0x1220702f0>,1,<function binary_crossentropy at 0x122036510>,0.001,<class 'keras.optimizers.Adam'>,<function relu at 0x1220702f0>,8,"{'clf__batch_size': 128, 'clf__dropout': 0, 'clf__epochs': 20, 'clf__first_neuron': 16, 'clf__last_activation': <function relu at 0x1220702f0>, 'clf__last_neuron': 1, 'clf__loss': <function binary_crossentropy at 0x122036510>, 'clf__lr': 0.001, 'clf__optimizer': <class 'keras.optimizers.Adam'>, 'clf__second_activation': <function relu at 0x1220702f0>, 'clf__second_neuron': 8}",33,0.8282763073335084,0.8450113014902343,0.8108457069846412,0.8237003552786643,0.8003875968992248,0.8121368623380125,0.0285496818749114,0.015400024153380652,0.011503225814442224,0.013616165013174865
8,2.498420000076294,0.3894182840983073,0.8331898408001782,0.8452434827202878,128,0,20,16,<function relu at 0x1220702f0>,1,<function binary_crossentropy at 0x122036510>,0.001,<class 'keras.optimizers.Adam'>,<function relu at 0x1220702f0>,32,"{'clf__batch_size': 128, 'clf__dropout': 0, 'clf__epochs': 20, 'clf__first_neuron': 16, 'clf__last_activation': <function relu at 0x1220702f0>, 'clf__last_neuron': 1, 'clf__loss': <function binary_crossentropy at 0x122036510>, 'clf__lr': 0.001, 'clf__optimizer': <class 'keras.optimizers.Adam'>, 'clf__second_activation': <function relu at 0x1220702f0>, 'clf__second_neuron': 32}",26,0.834086507462624,0.8534065223640883,0.8250484183728888,0.8395221184098339,0.8404392766398053,0.8428018073869413,0.041667594530257784,0.013967806757248328,0.006314874146277873,0.005925397433440415
9,2.912761688232422,0.4272309144337972,0.8426603530174794,0.8643951374843333,128,0,20,16,<function relu at 0x1220702f0>,1,<function binary_crossentropy at 0x122036510>,0.01,<class 'keras.optimizers.Adam'>,<function relu at 0x1220702f0>,1,"{'clf__batch_size': 128, 'clf__dropout': 0, 'clf__epochs': 20, 'clf__first_neuron': 16, 'clf__last_activation': <function relu at 0x1220702f0>, 'clf__last_neuron': 1, 'clf__loss': <function binary_crossentropy at 0x122036510>, 'clf__lr': 0.01, 'clf__optimizer': <class 'keras.optimizers.Adam'>, 'clf__second_activation': <function relu at 0x1220702f0>, 'clf__second_neuron': 1}",16,0.834732085254748,0.8479173394184094,0.8495803744735989,0.84049079760375,0.8436692506459949,0.9047772754308406,0.4054423977227286,0.012960097573607799,0.006104244407755968,0.028714992363795825
10,2.8138195673624673,0.4737923940022786,0.8493327593885512,0.8635383276947574,128,0,20,16,<function relu at 0x1220702f0>,1,<function binary_crossentropy at 0x122036510>,0.01,<class 'keras.optimizers.Adam'>,<function relu at 0x1220702f0>,8,"{'clf__batch_size': 128, 'clf__dropout': 0, 'clf__epochs': 20, 'clf__first_neuron': 16, 'clf__last_activation': <function relu at 0x1220702f0>, 'clf__last_neuron': 1, 'clf__loss': <function binary_crossentropy at 0x122036510>, 'clf__lr': 0.01, 'clf__optimizer': <class 'keras.optimizers.Adam'>, 'clf__second_activation': <function relu at 0x1220702f0>, 'clf__second_neuron': 8}",3,0.8405422853838636,0.8634162091577596,0.8502259522657228,0.8618017435458771,0.8572351421188631,0.8653970303806356,0.05991461081324583,0.015802742587814122,0.006843678372046884,0.001470307577539667
11,2.957819938659668,0.5177260239919027,0.836848902307191,0.8468616657052784,128,0,20,16,<function relu at 0x1220702f0>,1,<function binary_crossentropy at 0x122036510>,0.01,<class 'keras.optimizers.Adam'>,<function relu at 0x1220702f0>,32,"{'clf__batch_size': 128, 'clf__dropout': 0, 'clf__epochs': 20, 'clf__first_neuron': 16, 'clf__last_activation': <function relu at 0x1220702f0>, 'clf__last_neuron': 1, 'clf__loss': <function binary_crossentropy at 0x122036510>, 'clf__lr': 0.01, 'clf__optimizer': <class 'keras.optimizers.Adam'>, 'clf__second_activation': <function relu at 0x1220702f0>, 'clf__second_neuron': 32}",24,0.8521626856420946,0.8685824991542753,0.8547449968105905,0.8637391021454146,0.8036175710594315,0.8082633958161455,0.03241458686119068,0.01573092589153737,0.023514162823293303,0.027364629877174453
